('1', '물질의 규칙성과 결합', '객관식', '2'),
('144', '화학 변화 (산화 환원)', '객관식', '3'),
('145', '화학 변화 (산화 환원)', '객관식', '4'),
('146', '화학 변화 (산화 환원)', '객관식', '5'),
('147', '화학 변화 (산과 염기)', '객관식', '1'),
('148', '화학 변화 (산과 염기)', '객관식', '5'),
('149', '화학 변화 (산과 염기)', '객관식', '5'),
('150', '화학 변화 (산과 염기)', '객관식', '5'),
('151', '화학 변화 (산과 염기)', '객관식', '5'),
('152', '화학 변화 (산과 염기)', '객관식', '5'),
('153', '화학 변화 (산과 염기)', '객관식', '5'),
('154', '화학 변화 (산과 염기)', '객관식', '5'),
('155', '화학 변화 (산과 염기)', '객관식', '5'),
('156', '화학 변화 (산과 염기)', '객관식', '5'),
('157', '화학 변화 (산과 염기)', '객관식', '5'),
('158', '화학 변화 (산과 염기)', '객관식', '5'),
('159', '화학 변화 (산과 염기)', '객관식', '3'),
('160', '화학 변화 (산과 염기)', '객관식', '5'),
('161', '화학 변화 (산과 염기)', '객관식', '5'),
('162', '화학 변화 (산과 염기)', '객관식', '5'),
('163', '화학 변화 (산과 염기)', '객관식', '5'),
('164', '화학 변화 (산과 염기)', '객관식', '5'),
('165', '화학 변화 (산과 염기)', '객관식', '1'),
('166', '화학 변화 (산과 염기)', '객관식', '5'),
('167', '화학 변화 (산과 염기)', '객관식', '3'),
('168', '화학 변화 (산과 염기)', '객관식', '3'),
('169', '화학 변화 (산과 염기)', '객관식', '5'),
('170', '화학 변화 (산과 염기)', '객관식', '5'),
('171', '화학 변화 (산과 염기)', '객관식', '5'),
('172', '화학 변화 (산과 염기)', '객관식', '5'),
('173', '화학 변화 (산과 염기)', '객관식', '5'),
('174', '화학 변화 (산과 염기)', '객관식', '5'),
('175', '화학 변화 (산과 염기)', '객관식', '5'),
('176', '화학 변화 (산과 염기)', '객관식', '5'),
('177', '화학 변화 (산과 염기)', '객관식', '5'),
('178', '화학 변화 (산과 염기)', '객관식', '3'),
('179', '화학 변화 (산과 염기)', '객관식', '1'),
('180', '화학 변화 (산과 염기)', '객관식', '5'),
('181', '화학 변화 (산과 염기)', '객관식', '5'),
('182', '화학 변화 (산과 염기)', '객관식', '5'),
('183', '화학 변화 (산과 염기)', '객관식', '3'),
('184', '화학 변화 (산과 염기)', '객관식', '3'),
('185', '화학 변화 (산과 염기)', '객관식', '5'),
('186', '화학 변화 (산과 염기)', '객관식', '5'),
('187', '화학 변화 (산과 염기)', '객관식', '5'),
('188', '화학 변화 (산과 염기)', '객관식', '5'),
('189', '발전과 신재생 에너지 (태양 에너지)', '객관식', '5'),
('190', '발전과 신재생 에너지 (태양 에너지)', '객관식', '3'),
('191', '발전과 신재생 에너지 (태양 에너지)', '객관식', '2,4'),
('192', '발전과 신재생 에너지 (태양 에너지)', '객관식', '5'),
('193', '발전과 신재생 에너지 (태양 에너지)', '객관식', '5'),
('194', '발전과 신재생 에너지 (태양 에너지)', '객관식', '3'),
('195', '발전과 신재생 에너지 (태양 에너지)', '객관식', '4'),
('196', '발전과 신재생 에너지 (태양 에너지)', '객관식', '3'),
('197', '발전과 신재생 에너지 (태양 에너지)', '객관식', '5'),
('198', '발전과 신재생 에너지 (태양 에너지)', '객관식', '5'),
('199', '발전과 신재생 에너지 (태양 에너지)', '객관식', '5'),
('200', '발전과 신재생 에너지 (태양 에너지)', '객관식', '5'),
('201', '발전과 신재생 에너지 (태양 에너지)', '객관식', '5'),
('202', '발전과 신재생 에너지 (태양 에너지)', '객관식', '5'),
('203', '발전과 신재생 에너지 (태양 에너지)', '객관식', '5'),
('204', '발전과 신재생 에너지 (태양 에너지)', '객관식', '5'),
('205', '발전과 신재생 에너지 (태양 에너지)', '객관식', '2'),
('206', '발전과 신재생 에너지 (태양 에너지)', '객관식', '4'),
('207', '발전과 신재생 에너지 (태양 에너지)', '객관식', '5'),
('208', '발전과 신재생 에너지 (태양 에너지)', '객관식', '5'),
('209', '발전과 신재생 에너지 (태양 에너지)', '객관식', '1'),
('210', '발전과 신재생 에너지 (태양 에너지)', '객관식', '3'),
('211', '발전과 신재생 에너지 (태양 에너지)', '객관식', '4'),
('212', '발전과 신재생 에너지 (태양 에너지)', '객관식', '1'),
('213', '발전과 신재생 에너지 (태양 에너지)', '객관식', '1'),
('214', '발전과 신재생 에너지 (태양 에너지)', '객관식', '5'),
('215', '발전과 신재생 에너지 (전자기 유도)', '객관식', '1'),
('216', '발전과 신재생 에너지 (전자기 유도)', '객관식', '5'),
('217', '발전과 신재생 에너지 (전자기 유도)', '객관식', '4'),
('218', '발전과 신재생 에너지 (전자기 유도)', '객관식', '1'),
('219', '발전과 신재생 에너지 (전자기 유도)', '객관식', '5'),
('220', '발전과 신재생 에너지 (전자기 유도)', '객관식', '3'),
('221', '발전과 신재생 에너지 (전자기 유도)', '객관식', '5'),
('222', '발전과 신재생 에너지 (전자기 유도)', '객관식', '3'),
('223', '발전과 신재생 에너지 (전자기 유도)', '객관식', '1'),
('224', '발전과 신재생 에너지 (전자기 유도)', '객관식', '2'),
('225', '발전과 신재생 에너지 (전자기 유도)', '객관식', '5'),
('226', '발전과 신재생 에너지 (전자기 유도)', '객관식', '5'),
('227', '발전과 신재생 에너지 (전자기 유도)', '객관식', '5'),
('228', '발전과 신재생 에너지 (전자기 유도)', '객관식', '5'),
('229', '발전과 신재생 에너지 (전자기 유도)', '객관식', '1'),
('230', '발전과 신재생 에너지 (전자기 유도)', '객관식', '5'),
('231', '발전과 신재생 에너지 (전자기 유도)', '객관식', '3'),
('232', '발전과 신재생 에너지 (전자기 유도)', '객관식', '5'),
('233', '발전과 신재생 에너지 (전자기 유도)', '객관식', '5'),
('234', '발전과 신재생 에너지 (전자기 유도)', '객관식', '5'),
('235', '발전과 신재생 에너지 (전자기 유도)', '객관식', '2'),
('236', '발전과 신재생 에너지 (전자기 유도)', '객관식', '1'),
('237', '발전과 신재생 에너지 (전자기 유도)', '객관식', '5'),
('238', '발전과 신재생 에너지 (전자기 유도)', '객관식', '5'),
('239', '발전과 신재생 에너지 (전자기 유도)', '객관식', '5'),
('240', '발전과 신재생 에너지 (전자기 유도)', '객관식', '5'),
('241', '발전과 신재생 에너지 (전자기 유도)', '객관식', '5'),
('242', '발전과 신재생 에너지 (전자기 유도)', '객관식', '1'),
('243', '발전과 신재생 에너지 (전자기 유도)', '객관식', '3'),
('244', '발전과 신재생 에너지 (전자기 유도)', '객관식', '3'),
('245', '발전과 신재생 에너지 (전자기 유도)', '객관식', '5'),
('246', '발전과 신재생 에너지 (전자기 유도)', '객관식', '1'),
('247', '발전과 신재생 에너지 (전자기 유도)', '객관식', '5'),
('248', '발전과 신재생 에너지 (전자기 유도)', '객관식', '4'),
('249', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '1'),
('250', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '3'),
('251', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '3'),
('252', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '3'),
('253', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '5'),
('254', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '5'),
('255', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '5'),
('256', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '5'),
('257', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '1'),
('258', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '5'),
('259', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '5'),
('260', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '5'),
('261', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '5'),
('262', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '5'),
('263', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '5'),
('264', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '2'),
('265', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '5'),
('266', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '5'),
('267', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '5'),
('268', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '5'),
('269', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '2'),
('270', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '5'),
('271', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '5'),
('272', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '5'),
('273', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '2'),
('274', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '1'),
('275', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '5'),
('276', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '5'),
('277', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '3'),
('278', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '5'),
('279', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '2'),
('280', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '5'),
('281', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '1'),
('282', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '5'),
('283', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '3'),
('284', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '5'),
('285', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '5'),
('286', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '5'),
('287', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '3'),
('288', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '5'),
('289', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '5'),
('290', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '5'),
('291', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '1'),
('292', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '3'),
('293', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '4'),
('294', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '5'),
('295', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '3,5'),
('296', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '2'),
('297', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '5'),
('298', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '5'),
('299', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '5'),
('300', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '4'),
('301', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '5'),
('302', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '5'),
('303', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '3'),
('304', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '5'),
('305', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '2,5'),
('306', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '3'),
('307', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '5'),
('308', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '5'),
('309', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '5'),
('310', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '3'),
('311', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '5'),
('312', '발전과 신재생 에너지 (에너지 전환 및 신재생)', '객관식', '5'),
